Job Name: genejc_nn_expression_v2_L2_100epochs_120824
Script: init_nn_expression_v2.py
Working SCRATCH directory is /scratch/pmc019/jceliberti/run_conda/478396
Results will be store in /group/pmc019/jceliberti/conda_results/478396
Epoch 1, Loss: 632.8130846917629, Training Accuracy: 0.7193958215697346, Training Precision: 0.8341228145723882, Training Recall: 0.5472369759294835, Training F1 Score: 0.6608891466784946
Epoch 31, Loss: 201.06302440725267, Training Accuracy: 0.9224449463579898, Training Precision: 0.9676571786049422, Training Recall: 0.8739970618148943, Training F1 Score: 0.9184455066353947
Epoch 32, Loss: 198.39498336985707, Training Accuracy: 0.9225014116318464, Training Precision: 0.9699541140235087, Training Recall: 0.8719064301050966, Training F1 Score: 0.9183205879727437
Epoch 33, Loss: 202.422687090002, Training Accuracy: 0.9222190852625636, Training Precision: 0.9709423258745666, Training Recall: 0.8703808339925415, Training F1 Score: 0.9179155617793403
Epoch 34, Loss: 201.50368055980653, Training Accuracy: 0.9219085262563523, Training Precision: 0.969559748427673, Training Recall: 0.8710588767092327, Training F1 Score: 0.9176736710518483
Epoch 35, Loss: 201.76107509434223, Training Accuracy: 0.9222755505364201, Training Precision: 0.9695256047753692, Training Recall: 0.8718499265453724, Training F1 Score: 0.9180971647874334
Epoch 36, Loss: 191.05322402901947, Training Accuracy: 0.9250705815923207, Training Precision: 0.9729033069282031, Training Recall: 0.8743925867329642, Training F1 Score: 0.9210213069872634
Epoch 37, Loss: 198.04245490580797, Training Accuracy: 0.9228966685488424, Training Precision: 0.9698624976455076, Training Recall: 0.8728104870606849, Training F1 Score: 0.9187806691449815
Epoch 38, Loss: 206.0188678363338, Training Accuracy: 0.9216261998870694, Training Precision: 0.9683615819209039, Training Recall: 0.8716239123064753, Training F1 Score: 0.9174497442607351
Epoch 39, Loss: 200.86666044220328, Training Accuracy: 0.9215415019762846, Training Precision: 0.96888553648878, Training Recall: 0.8709458695897841, Training F1 Score: 0.9173088939804207
Epoch 40, Loss: 201.78286381531507, Training Accuracy: 0.923828345567476, Training Precision: 0.9711055276381909, Training Recall: 0.8735450333371002, Training F1 Score: 0.919745374501755
Epoch 41, Loss: 197.71322376467288, Training Accuracy: 0.9228966685488424, Training Precision: 0.9698624976455076, Training Recall: 0.8728104870606849, Training F1 Score: 0.9187806691449815
Epoch 42, Loss: 205.75886882469058, Training Accuracy: 0.9226990400903444, Training Precision: 0.9693775100401606, Training Recall: 0.8728669906204091, Training F1 Score: 0.9185942795980258
Epoch 43, Loss: 199.1653774343431, Training Accuracy: 0.9218520609824957, Training Precision: 0.9689659504962935, Training Recall: 0.8715109051870268, Training F1 Score: 0.9176582579723941
Epoch 44, Loss: 196.4600943978876, Training Accuracy: 0.9228966685488424, Training Precision: 0.9696266080953875, Training Recall: 0.8730365012995819, Training F1 Score: 0.9187999881069188
Epoch 45, Loss: 195.66339999251068, Training Accuracy: 0.92442123094297, Training Precision: 0.9699055246199086, Training Recall: 0.8759181828455193, Training F1 Score: 0.9205189869659451
Epoch 46, Loss: 201.35170025285333, Training Accuracy: 0.9234048560135517, Training Precision: 0.9702504236490304, Training Recall: 0.873488529777376, Training F1 Score: 0.9193303797091968
Epoch 47, Loss: 197.2455613128841, Training Accuracy: 0.9246188594014682, Training Precision: 0.9718071078739169, Training Recall: 0.8745055938524127, Training F1 Score: 0.9205924339757316
Epoch 48, Loss: 204.29428192507476, Training Accuracy: 0.9234895539243365, Training Precision: 0.9683164604424447, Training Recall: 0.8755226579274494, Training F1 Score: 0.9195845697329377
Epoch 49, Loss: 196.0342748016119, Training Accuracy: 0.9230378317334839, Training Precision: 0.9695183140993477, Training Recall: 0.8734320262176517, Training F1 Score: 0.9189703347006718
Epoch 50, Loss: 201.14385753311217, Training Accuracy: 0.9235177865612648, Training Precision: 0.9693155488759472, Training Recall: 0.8746186009718613, Training F1 Score: 0.919535450144058
Epoch 51, Loss: 195.99134190939367, Training Accuracy: 0.9228402032749858, Training Precision: 0.970035806269238, Training Recall: 0.8725279692620636, Training F1 Score: 0.9187018472796502
Epoch 52, Loss: 202.62714056670666, Training Accuracy: 0.922162619988707, Training Precision: 0.9676369327073553, Training Recall: 0.8734320262176517, Training F1 Score: 0.9181243132480028
Epoch 53, Loss: 200.68837781623006, Training Accuracy: 0.9219367588932806, Training Precision: 0.9693845476834099, Training Recall: 0.8712848909481298, Training F1 Score: 0.9177205772950454
Epoch 54, Loss: 197.88705154601485, Training Accuracy: 0.9232919254658385, Training Precision: 0.9710117587876501, Training Recall: 0.8725279692620636, Training F1 Score: 0.9191393113300199
Epoch 55, Loss: 197.45655699074268, Training Accuracy: 0.923828345567476, Training Precision: 0.9711055276381909, Training Recall: 0.8735450333371002, Training F1 Score: 0.919745374501755
Epoch 56, Loss: 197.25339025631547, Training Accuracy: 0.9241671372106155, Training Precision: 0.9694183864915572, Training Recall: 0.8758616792857951, Training F1 Score: 0.9202683448112088
Epoch 57, Loss: 202.92858500499278, Training Accuracy: 0.922557876905703, Training Precision: 0.9686031208873849, Training Recall: 0.8733190190982032, Training F1 Score: 0.9184965086911306
Epoch 58, Loss: 199.3636187100783, Training Accuracy: 0.922557876905703, Training Precision: 0.96942683156507, Training Recall: 0.8725279692620636, Training F1 Score: 0.9184286436494483
Epoch 59, Loss: 191.88150205090642, Training Accuracy: 0.9258328627893845, Training Precision: 0.9715877088678891, Training Recall: 0.8772177647191773, Training F1 Score: 0.9219942393918699
Epoch 60, Loss: 203.1614448465407, Training Accuracy: 0.9214003387916432, Training Precision: 0.9686989314896292, Training Recall: 0.8708328624703356, Training F1 Score: 0.9171625803380148
Epoch 61, Loss: 198.15936988405883, Training Accuracy: 0.922557876905703, Training Precision: 0.969603717892357, Training Recall: 0.8723584585828907, Training F1 Score: 0.918414086434074
Epoch 62, Loss: 195.44890097994357, Training Accuracy: 0.9238848108413326, Training Precision: 0.9707543617421865, Training Recall: 0.8739970618148943, Training F1 Score: 0.9198382492863939
Epoch 63, Loss: 201.35576197039336, Training Accuracy: 0.9212591756070017, Training Precision: 0.9681004709576139, Training Recall: 0.871115380268957, Training F1 Score: 0.9170508283020551
Epoch 64, Loss: 201.4112813733518, Training Accuracy: 0.922162619988707, Training Precision: 0.9692819900747535, Training Recall: 0.8718499265453724, Training F1 Score: 0.9179879227771663
Epoch 65, Loss: 199.39035071060061, Training Accuracy: 0.9239977413890458, Training Precision: 0.9711164134120306, Training Recall: 0.8738840546954458, Training F1 Score: 0.9199381394242208
Epoch 66, Loss: 201.6531473826617, Training Accuracy: 0.92128740824393, Training Precision: 0.9690449226123066, Training Recall: 0.870267826873093, Training F1 Score: 0.917004048582996
Epoch 67, Loss: 191.11115653254092, Training Accuracy: 0.9241389045736872, Training Precision: 0.9713029827315541, Training Recall: 0.8739970618148943, Training F1 Score: 0.9200844659905422
Epoch 68, Loss: 197.47718431428075, Training Accuracy: 0.9237718802936195, Training Precision: 0.9706288439814234, Training Recall: 0.8738840546954458, Training F1 Score: 0.9197193149381542
Epoch 69, Loss: 217.9643542934209, Training Accuracy: 0.9216261998870694, Training Precision: 0.9693043150081772, Training Recall: 0.8707198553508871, Training F1 Score: 0.9173711156090011
Epoch 70, Loss: 199.78102112933993, Training Accuracy: 0.9212309429700734, Training Precision: 0.9692772601359859, Training Recall: 0.8699288055147474, Training F1 Score: 0.9169197784527425
Epoch 71, Loss: 197.75720632262528, Training Accuracy: 0.9226425748164878, Training Precision: 0.9703181989686832, Training Recall: 0.8718499265453724, Training F1 Score: 0.9184523809523809
Epoch 72, Loss: 196.2143179513514, Training Accuracy: 0.9239130434782609, Training Precision: 0.9701660921341272, Training Recall: 0.8746186009718613, Training F1 Score: 0.9199179865093751
Epoch 73, Loss: 207.24970581941307, Training Accuracy: 0.9210615471485036, Training Precision: 0.9680276381909547, Training Recall: 0.8707763589106113, Training F1 Score: 0.916830269498483
Epoch 74, Loss: 205.17112293839455, Training Accuracy: 0.9225296442687747, Training Precision: 0.9689538384345209, Training Recall: 0.8729234941801334, Training F1 Score: 0.9184352892218061
Epoch 75, Loss: 197.43777349963784, Training Accuracy: 0.9228119706380576, Training Precision: 0.9703293940155896, Training Recall: 0.8721889479037179, Training F1 Score: 0.9186454799738142
Epoch 76, Loss: 197.46253891289234, Training Accuracy: 0.9237436476566911, Training Precision: 0.9701548686438021, Training Recall: 0.8742795796135157, Training F1 Score: 0.9197253841352869
Epoch 77, Loss: 198.28718876093626, Training Accuracy: 0.9214285714285714, Training Precision: 0.9684653558640618, Training Recall: 0.871115380268957, Training F1 Score: 0.9172145045661422
Epoch 78, Loss: 192.82590294629335, Training Accuracy: 0.9258328627893845, Training Precision: 0.9718239308747104, Training Recall: 0.8769917504802802, Training F1 Score: 0.9219757046541329
Epoch 79, Loss: 203.50431619025767, Training Accuracy: 0.921682665160926, Training Precision: 0.9680130456598093, Training Recall: 0.8720759407842694, Training F1 Score: 0.9175435467570299
Epoch 80, Loss: 201.2682844568044, Training Accuracy: 0.9234048560135517, Training Precision: 0.9685448064536302, Training Recall: 0.8751271330093796, Training F1 Score: 0.9194692629641723
Epoch 81, Loss: 200.7778228148818, Training Accuracy: 0.9236307171089779, Training Precision: 0.9706196245840919, Training Recall: 0.8736015368968245, Training F1 Score: 0.9195586879590805
Epoch 82, Loss: 197.46902210265398, Training Accuracy: 0.9232354601919819, Training Precision: 0.9704755323826874, Training Recall: 0.8729234941801334, Training F1 Score: 0.9191183032394324
Epoch 83, Loss: 195.192480513826, Training Accuracy: 0.9235460191981931, Training Precision: 0.9689064064064065, Training Recall: 0.8750706294496553, Training F1 Score: 0.9196009738139065
Epoch 84, Loss: 195.0913998093456, Training Accuracy: 0.9242800677583286, Training Precision: 0.9706619859578737, Training Recall: 0.8749011187704825, Training F1 Score: 0.9202971768202081
Epoch 85, Loss: 206.83531693927944, Training Accuracy: 0.9231789949181254, Training Precision: 0.9678265758730555, Training Recall: 0.8753531472482766, Training F1 Score: 0.9192701379617267
Epoch 86, Loss: 194.96118396148086, Training Accuracy: 0.9234895539243365, Training Precision: 0.9695488721804512, Training Recall: 0.87433608317324, Training F1 Score: 0.9194842236615366
Epoch 87, Loss: 193.9382921475917, Training Accuracy: 0.9252682100508187, Training Precision: 0.97049077836824, Training Recall: 0.8771047575997288, Training F1 Score: 0.9214376873534562
Epoch 88, Loss: 196.28198234550655, Training Accuracy: 0.9227272727272727, Training Precision: 0.966743620141012, Training Recall: 0.8754661543677251, Training F1 Score: 0.9188435878428466
Epoch 89, Loss: 197.33536804653704, Training Accuracy: 0.9241953698475438, Training Precision: 0.969361595698118, Training Recall: 0.8759746864052436, Training F1 Score: 0.920305125998041
Epoch 90, Loss: 199.93453481793404, Training Accuracy: 0.924223602484472, Training Precision: 0.968601747815231, Training Recall: 0.8767657362413832, Training F1 Score: 0.9203986001542203
Epoch 91, Loss: 200.68174459785223, Training Accuracy: 0.9240542066629023, Training Precision: 0.9675389408099688, Training Recall: 0.8774437789580743, Training F1 Score: 0.9202915728339457
Epoch 92, Loss: 194.0996981188655, Training Accuracy: 0.926171654432524, Training Precision: 0.9706084243369735, Training Recall: 0.8788563679511809, Training F1 Score: 0.9224564837054829
Epoch 93, Loss: 194.3696686271578, Training Accuracy: 0.9253811405985319, Training Precision: 0.96862354479238, Training Recall: 0.8791388857498023, Training F1 Score: 0.9217144041941886
Epoch 94, Loss: 189.97007655911148, Training Accuracy: 0.9255223037831734, Training Precision: 0.9695684709403841, Training Recall: 0.8785173465928353, Training F1 Score: 0.9217999644275805
Epoch 95, Loss: 197.52895475178957, Training Accuracy: 0.9228684359119141, Training Precision: 0.967278631197702, Training Recall: 0.8752401401288281, Training F1 Score: 0.9189606074988135
Epoch 96, Loss: 198.35508495103568, Training Accuracy: 0.9232354601919819, Training Precision: 0.9691787258034205, Training Recall: 0.8741665724940672, Training F1 Score: 0.9192240278066606
Epoch 97, Loss: 194.22414729651064, Training Accuracy: 0.9257481648785997, Training Precision: 0.9698179097031678, Training Recall: 0.8787433608317324, Training F1 Score: 0.9220371138910298
Epoch 98, Loss: 193.5407769382, Training Accuracy: 0.9265104460756635, Training Precision: 0.9691676508982409, Training Recall: 0.8809469996609787, Training F1 Score: 0.9229539736569483
Epoch 99, Loss: 191.99049267917871, Training Accuracy: 0.9258610954263128, Training Precision: 0.9688316536020903, Training Recall: 0.8799299355859419, Training F1 Score: 0.9222432784555253
Epoch 100, Loss: 198.9044283842668, Training Accuracy: 0.9237436476566911, Training Precision: 0.9672836044120396, Training Recall: 0.8770482540400045, Training F1 Score: 0.9199585123722033
Accuracy: 71.4430894308943%
Precision: 0.7401357124905755
Recall: 0.6632882882882883
F1 Score: 0.6996080294571801
Conda ML gpu job finished at Mon Aug 12 14:02:16 AWST 2024
Total Runtime: 01:11:02
